alpaca_symbol,qlib_symbol,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,universe_snapshot_source
KVUE,KVUE,KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048,2022 (Johnson & Johnson spinoff),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
L,L,L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1995-05-31,60086,1959,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LDOS,LDOS,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LEN,LEN,LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LH,LH,LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LHX,LHX,LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,"2019 (L3 1997, Harris 1895)",https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LII,LII,LII,Lennox International,Industrials,Building Products,"Richardson, Texas",2024-12-23,1069202,1895,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LIN,LIN,LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925,1879,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LITE,LITE,LITE,Lumentum,Information Technology,Communications Equipment,"San Jose, California",2026-03-23,1633978,2015,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LLY,LLY,LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LMT,LMT,LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,936468,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LNT,LNT,LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LOW,LOW,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LRCX,LRCX,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549,1980,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LULU,LULU,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,1397187,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LUV,LUV,LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994-07-01,92380,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LVS,LVS,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LYB,LYB,LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393,2007,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
LYV,LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MA,MA,MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MAA,MAA,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MAR,MAR,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,1048286,1927,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MAS,MAS,MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MCD,MCD,MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MCHP,MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MCK,MCK,MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,927653,1833,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MCO,MCO,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998-07-01,1059556,1909,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MDLZ,MDLZ,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MDT,MDT,MDT,Medtronic,Health Care,Health Care Equipment,"Galway, Ireland",1986-10-31,1613103,1949,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MET,MET,MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,1099219,1868,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
META,META,META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MGM,MGM,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570,1986,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MKC,MKC,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MLM,MLM,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MMM,MMM,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MNST,MNST,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752,2012 (1935),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MO,MO,MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MOS,MOS,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004 (1865 / 1909),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MPC,MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MPWR,MPWR,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MRK,MRK,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MRNA,MRNA,MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MRSH,MRSH,MRSH,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MRVL,MRVL,MRVL,Marvell Technology,Information Technology,Semiconductors,"Santa Clara, California",2026-06-22,1835632,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MS,MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,895421,1935,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MSCI,MSCI,MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MSFT,MSFT,MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MSI,MSI,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MTB,MTB,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MTD,MTD,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
MU,MU,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NCLH,NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami-Dade County, Florida[3]",2017-10-13,1513761,2011 (1966),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NDAQ,NDAQ,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NDSN,NDSN,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,72331,1935,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NEE,NEE,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NEM,NEM,NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NFLX,NFLX,NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NI,NI,NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,1111711,1912,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NKE,NKE,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NOC,NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia[2]",1957-03-04,1133421,"1994 (Northrop 1939, Grumman 1930)",https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NOW,NOW,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715,2003,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NRG,NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NSC,NSC,NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165,1881/1894 (1980),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NTAP,NTAP,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047,1992,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NTRS,NTRS,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,73124,1889,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NUE,NUE,NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NVDA,NVDA,NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NVR,NVR,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NWS,NWS,NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (News Corporation 1980),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NWSA,NWSA,NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (News Corporation 1980),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
NXPI,NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
O,O,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ODFL,ODFL,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927,1934,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
OKE,OKE,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
OMC,OMC,OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,29989,1986,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ON,ON,ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ORCL,ORCL,ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ORLY,ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009-03-27,898173,1957,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
OTIS,OTIS,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335,"2020 (1853, United Technologies spinoff)",https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
OXY,OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,797468,1920,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PANW,PANW,PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023-06-20,1327567,2005,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PAYX,PAYX,PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,723531,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PCAR,PCAR,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,75362,1905,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PCG,PCG,PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022-10-03,1004980,1905,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PEG,PEG,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PEP,PEP,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,77476,1898,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PFE,PFE,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PFG,PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PG,PG,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PGR,PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PH,PH,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,76334,1917,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PHM,PHM,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PKG,PKG,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,75677,1959,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PLD,PLD,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,1983,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PLTR,PLTR,PLTR,Palantir Technologies,Information Technology,Application Software,"Aventura, Florida",2024-09-23,1321655,2003,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PM,PM,PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329,2008 (1847),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PNC,PNC,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PNR,PNR,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,77360,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PNW,PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",1999-10-04,764622,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PODD,PODD,PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",2023-03-15,1145197,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PPG,PPG,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PPL,PPL,PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,922224,1920,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PRU,PRU,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PSA,PSA,PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,1393311,1972,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PSKY,PSKY,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,"Los Angeles, California",1994-09-30,2041610,2025 (Paramount Pictures 1912),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PSX,PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012 (1917),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PTC,PTC,PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PWR,PWR,PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
PYPL,PYPL,PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,1633917,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
Q,Q,Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,"Wilmington, Delaware",2025-11-03,2058873,2025,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
QCOM,QCOM,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999-07-22,804328,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RCL,RCL,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RDDT,RDDT,RDDT,Reddit,Communication Services,Interactive Media & Services,"San Francisco, California",2026-08-18,1713445,2005,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
REG,REG,REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,1963,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
REGN,REGN,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RF,RF,RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RJF,RJF,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,1962,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RL,RL,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1037038,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RMD,RMD,RMD,ResMed|,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ROK,ROK,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,1024478,1903,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ROL,ROL,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839,1948,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ROP,ROP,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,882835,1981,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ROST,ROST,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RSG,RSG,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RTX,RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,101829,1922,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
RVTY,RVTY,RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,1937,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SBAC,SBAC,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,1034054,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SBUX,SBUX,SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-06-07,829224,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SCHW,SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SHW,SHW,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SJM,SJM,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,1897,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SLB,SLB,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,87347,1926,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SMCI,SMCI,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,1375365,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SNA,SNA,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SNDK,SNDK,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",2025-11-28,2023554,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SNPS,SNPS,SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",2017-03-16,883241,1986,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
